City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Xichang,CN,63.27,light rain,27.8964,102.2634,Xichang ibis Hotel
1,Rikitea,PF,70.43,broken clouds,-23.1203,-134.9692,People ThankYou
5,Carquefou,FR,68.07,clear sky,47.2982,-1.4902,Best Western Plus Hôtel de la Régate
6,Butaritari,KI,81.61,broken clouds,3.0707,172.7902,Isles Sunset Lodge
9,Tautira,PF,76.71,light rain,-17.7333,-149.15,Pension Oaoa
10,Karavayevo,RU,73.26,clear sky,55.2961,37.9622,Individual House-Sauna
15,Tuktoyaktuk,CA,65.66,clear sky,69.4541,-133.0374,End of The Road Ltd.
16,Mayumba,GA,68.47,broken clouds,-3.432,10.6554,LIKWALE LODGE
18,Victoria,HK,81.32,overcast clouds,22.2855,114.1577,Mini Central
19,Nouadhibou,MR,70.75,clear sky,20.931,-17.0347,El Medina
21,Daloa,CI,74.23,overcast clouds,6.8774,-6.4502,Imans Hotel Daloa
22,Roma,US,88.52,few clouds,43.2128,-75.4557,Wingate By Wyndham Rome
25,Nushki,PK,87.33,clear sky,29.5542,66.0215,Shams hotel
27,Alofi,NU,76.84,light rain,-19.0595,-169.9187,Taloa Heights
28,Bengkulu,ID,73.35,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
30,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
32,Nikolskoye,RU,75.87,broken clouds,59.7035,30.7861,Tourist House - Sablino
33,Padang,ID,76.77,overcast clouds,-0.9492,100.3543,Mercure Padang
35,Sambava,MG,66.78,few clouds,-14.2667,50.1667,Melrose
37,Kahului,US,89.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
43,Linxia,CN,67.5,overcast clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
44,Yellowknife,CA,66.56,overcast clouds,62.456,-114.3525,The Explorer Hotel
46,Vaini,TO,75.94,moderate rain,-21.2,-175.2,Keleti Beach Resort
49,Gornopravdinsk,RU,61.05,light rain,60.05,69.9,Hostel
51,Gergebil,RU,66.2,light rain,42.5047,47.0661,"Gostevoy Dom ""Khonobakh"""
52,Laguna,US,89.01,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
55,Sabang,ID,82.04,overcast clouds,5.8933,95.3214,Hotel Citra
56,Kavaratti,IN,80.02,light rain,10.5669,72.642,Green leaf
59,Menongue,AO,60.51,clear sky,-14.6585,17.691,Ritz Lauca
63,Lorengau,PG,79.09,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
64,Kapaa,US,82.72,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
67,Bhavnagar,IN,80.73,overcast clouds,21.7667,72.15,Hotel Mausam
68,Kavieng,PG,80.87,broken clouds,-2.5744,150.7967,Nusa Island Retreat
70,Havre-Saint-Pierre,CA,67.96,clear sky,50.2334,-63.5986,Auberge Niapiskau
71,Georgetown,MY,81.9,scattered clouds,5.4112,100.3354,Cititel Penang
72,Coahuayana,MX,88.47,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
73,Aklavik,CA,78.1,scattered clouds,68.2191,-135.0107,Aklavik Inn
74,Hamilton,US,85.89,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
75,Creutzwald,FR,69.94,broken clouds,49.2,6.6833,"The Originals City, Hôtel Aster, Saint-Avold Nord (Inter-Hotel)"
79,Pyaozerskiy,RU,62.33,light rain,65.8333,31.1667,Taratuga
80,Noumea,NC,73.99,clear sky,-22.2763,166.4572,Hôtel Le Lagon
81,Jamestown,US,77.72,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
82,Winneba,GH,72.03,broken clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
83,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
84,Harper,LR,74.41,broken clouds,4.375,-7.7169,Screensaver
85,Matagami,CA,73.51,clear sky,49.7502,-77.6328,Motel Le Caribou
86,Marawi,PH,69.21,overcast clouds,7.9986,124.2928,Derogongan Residence
87,Ust-Tsilma,RU,61.27,overcast clouds,65.441,52.1498,U Praskov'i
88,Esmeraldas,BR,81.46,clear sky,-19.7625,-44.3139,Forasteiro Pousada
89,Hilo,US,87.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
95,Sompeta,IN,81.05,overcast clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
98,Hohhot,CN,71.89,clear sky,40.8106,111.6522,Sheraton Hohhot Hotel
101,Pionerskiy,RU,71.74,broken clouds,54.9508,20.2275,Baltica Pension
102,Jaque,PA,80.6,light rain,7.5175,-78.1703,Aventuras Jaque S.A
106,Sur,OM,86.45,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
107,Cairns,AU,70.07,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
108,Teruel,ES,67.08,broken clouds,40.6667,-0.6667,La Parra
109,Lata,PT,66.81,clear sky,40.1629,-8.3327,Casa Maquia
112,Susanville,US,84.9,clear sky,40.4163,-120.653,Comfort Inn & Suites
116,Souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
118,Namatanai,PG,78.57,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
122,Wanning,CN,80.19,broken clouds,18.8003,110.3967,Paradise Hotel
124,Sibu,MY,73.71,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
125,Nabire,ID,75.88,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
126,Kirakira,SB,80.64,scattered clouds,-10.4544,161.9205,SanBiz Lodge
127,Hithadhoo,MV,82.02,overcast clouds,-0.6,73.0833,Scoop Guest House
128,Kutum,SD,82.11,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
132,Atuona,PF,77.13,broken clouds,-9.8,-139.0333,Villa Enata
133,Usinsk,RU,60.22,overcast clouds,65.9939,57.5281,Dobro Pozhalovaty
135,Castro,BR,60.21,clear sky,-24.7911,-50.0119,CHACARA BAILLY
137,Mbarara,UG,69.76,overcast clouds,-0.608,30.65,Oxford Hotel
138,Kingisepp,RU,67.26,broken clouds,59.3733,28.6134,Narva
139,Hurghada,EG,89.42,overcast clouds,27.2574,33.8129,Sea Star Beau Rivage Hotel
140,Auray,FR,63.75,clear sky,47.6703,-2.9918,Best Western Auray hotel du Loch
141,Grand-Lahou,CI,74.37,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
143,Troy,US,88.47,scattered clouds,42.6056,-83.1499,Embassy Suites by Hilton Detroit Troy Auburn Hills
144,Kamyshla,RU,64.96,clear sky,54.1169,52.1426,Дом 100 м.кв. на трассе М5
147,Asfi,MA,70.57,clear sky,32.2994,-9.2372,Hôtel Abda
148,Najran,SA,79.45,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
149,Saint-Philippe,RE,65.79,scattered clouds,-21.3585,55.7679,Le four à pain
