City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Xichang,CN,27.8964,102.2634,63.27,92,4,2.01,light rain
1,Rikitea,PF,-23.1203,-134.9692,70.43,63,51,21.7,broken clouds
2,Carnarvon,AU,-24.8667,113.6333,59.49,57,0,13.89,clear sky
3,Udachnyy,RU,66.4167,112.4,52.45,81,100,21.85,overcast clouds
4,Gunnedah,AU,-30.9833,150.25,47.71,97,43,7.78,scattered clouds
5,Carquefou,FR,47.2982,-1.4902,68.07,55,0,10.36,clear sky
6,Butaritari,KI,3.0707,172.7902,81.61,75,77,10.09,broken clouds
7,Baherden,TM,38.4362,57.4316,88.09,22,1,6.78,clear sky
8,Pangnirtung,CA,66.1451,-65.7125,39.2,100,100,6.91,light rain
9,Tautira,PF,-17.7333,-149.15,76.71,78,97,25.97,light rain
10,Karavayevo,RU,55.2961,37.9622,73.26,74,0,2.24,clear sky
11,Albany,US,42.6001,-73.9662,90.57,58,90,4.74,overcast clouds
12,Provideniya,RU,64.3833,-173.3,46.09,62,37,9.82,scattered clouds
13,Saskylakh,RU,71.9167,114.0833,52.74,83,6,3.27,clear sky
14,Ilulissat,GL,69.2167,-51.1,48.22,87,75,2.3,light intensity shower rain
15,Tuktoyaktuk,CA,69.4541,-133.0374,65.66,50,0,14.56,clear sky
16,Mayumba,GA,-3.432,10.6554,68.47,91,83,6.55,broken clouds
17,Yar-Sale,RU,66.8333,70.8333,58.69,76,94,9.64,overcast clouds
18,Victoria,HK,22.2855,114.1577,81.32,92,94,5.01,overcast clouds
19,Nouadhibou,MR,20.931,-17.0347,70.75,91,5,11.65,clear sky
20,Beisfjord,NO,68.3751,17.5988,51.85,86,72,2.46,broken clouds
21,Daloa,CI,6.8774,-6.4502,74.23,75,100,4.36,overcast clouds
22,Roma,US,43.2128,-75.4557,88.52,63,20,6.91,few clouds
23,Riyadh,SA,24.6877,46.7219,93.34,18,62,3.2,broken clouds
24,Brae,GB,60.3964,-1.353,51.93,76,100,16.06,overcast clouds
25,Nushki,PK,29.5542,66.0215,87.33,34,2,2.39,clear sky
26,Ushuaia,AR,-54.8,-68.3,38.86,81,40,9.22,scattered clouds
27,Alofi,NU,-19.0595,-169.9187,76.84,81,100,23.6,light rain
28,Bengkulu,ID,-3.8004,102.2655,73.35,83,38,4.7,scattered clouds
29,Hermanus,ZA,-34.4187,19.2345,51.8,85,58,10.47,broken clouds
30,Avarua,CK,-21.2078,-159.775,77.05,69,40,13.8,scattered clouds
31,Whakatane,NZ,-37.9585,176.9854,48.78,91,37,5.99,scattered clouds
32,Nikolskoye,RU,59.7035,30.7861,75.87,68,63,6.06,broken clouds
33,Padang,ID,-0.9492,100.3543,76.77,81,98,3.94,overcast clouds
34,Chokurdakh,RU,70.6333,147.9167,46.81,69,33,4.81,scattered clouds
35,Sambava,MG,-14.2667,50.1667,66.78,86,12,10.36,few clouds
36,Tasiilaq,GL,65.6145,-37.6368,48.36,73,31,2.98,scattered clouds
37,Kahului,US,20.8947,-156.47,89.62,51,40,10.36,scattered clouds
38,Saint-Augustin,CA,51.226,-58.6502,75.15,46,98,7.25,overcast clouds
39,Kurilsk,RU,45.2333,147.8833,52.97,84,39,9.37,scattered clouds
40,Tiksi,RU,71.6872,128.8694,41.47,89,100,5.97,overcast clouds
41,Mataura,NZ,-46.1927,168.8643,44.94,95,88,1.99,overcast clouds
42,Vestmannaeyjar,IS,63.4427,-20.2734,53.15,95,100,21.32,overcast clouds
43,Linxia,CN,35.6003,103.2064,67.5,76,87,3.89,overcast clouds
44,Yellowknife,CA,62.456,-114.3525,66.56,34,99,3.29,overcast clouds
45,Thompson,CA,55.7435,-97.8558,54.0,98,100,6.2,overcast clouds
46,Vaini,TO,-21.2,-175.2,75.94,77,100,6.76,moderate rain
47,Kibaya,TZ,-5.3,36.5667,53.33,87,1,4.32,clear sky
48,Dikson,RU,73.5069,80.5464,43.95,100,100,11.34,moderate rain
49,Gornopravdinsk,RU,60.05,69.9,61.05,86,86,4.5,light rain
50,Airai,TL,-8.9266,125.4092,56.23,90,90,2.3,overcast clouds
51,Gergebil,RU,42.5047,47.0661,66.2,94,91,2.8,light rain
52,Laguna,US,38.421,-121.4238,89.01,46,0,6.91,clear sky
53,Boende,CD,-0.2167,20.8667,76.03,71,37,0.51,scattered clouds
54,Hobart,AU,-42.8794,147.3294,46.26,94,75,13.8,broken clouds
55,Sabang,ID,5.8933,95.3214,82.04,75,99,20.42,overcast clouds
56,Kavaratti,IN,10.5669,72.642,80.02,80,100,23.11,light rain
57,Egvekinot,RU,66.3167,-179.1667,43.97,60,9,2.66,clear sky
58,Pascagoula,US,30.3658,-88.5561,92.41,63,0,12.66,clear sky
59,Menongue,AO,-14.6585,17.691,60.51,32,2,5.1,clear sky
60,Klaksvik,FO,62.2266,-6.589,52.72,79,3,8.5,clear sky
61,Aykhal,RU,66.0,111.5,48.79,84,100,20.85,overcast clouds
62,Simbahan,PH,6.3032,120.5836,81.5,79,100,6.38,overcast clouds
63,Lorengau,PG,-2.0226,147.2712,79.09,81,100,3.13,overcast clouds
64,Kapaa,US,22.0752,-159.319,82.72,70,0,9.22,clear sky
65,Khatanga,RU,71.9667,102.5,54.72,90,12,6.46,few clouds
66,Tilichiki,RU,60.4667,166.1,54.39,85,100,3.4,overcast clouds
67,Bhavnagar,IN,21.7667,72.15,80.73,84,100,6.4,overcast clouds
68,Kavieng,PG,-2.5744,150.7967,80.87,75,82,7.52,broken clouds
69,Busselton,AU,-33.65,115.3333,52.88,76,70,4.09,broken clouds
70,Havre-Saint-Pierre,CA,50.2334,-63.5986,67.96,53,0,18.14,clear sky
71,Georgetown,MY,5.4112,100.3354,81.9,82,40,0.0,scattered clouds
72,Coahuayana,MX,18.7333,-103.6833,88.47,62,100,6.51,overcast clouds
73,Aklavik,CA,68.2191,-135.0107,78.1,33,30,14.83,scattered clouds
74,Hamilton,US,39.1834,-84.5333,85.89,79,75,11.5,broken clouds
75,Creutzwald,FR,49.2,6.6833,69.94,70,83,7.07,broken clouds
76,Beringovskiy,RU,63.05,179.3167,53.15,62,8,11.1,clear sky
77,Whitehorse,CA,60.7161,-135.0538,57.31,69,100,18.99,overcast clouds
78,Bluff,NZ,-46.6,168.3333,48.04,92,85,7.2,overcast clouds
79,Pyaozerskiy,RU,65.8333,31.1667,62.33,98,100,4.16,light rain
80,Noumea,NC,-22.2763,166.4572,73.99,99,0,6.67,clear sky
81,Jamestown,US,42.097,-79.2353,77.72,83,44,4.0,scattered clouds
82,Winneba,GH,5.3511,-0.6231,72.03,88,74,8.88,broken clouds
83,Bathsheba,BB,13.2167,-59.5167,84.81,83,20,20.71,few clouds
84,Harper,LR,4.375,-7.7169,74.41,77,76,8.88,broken clouds
85,Matagami,CA,49.7502,-77.6328,73.51,46,0,9.22,clear sky
86,Marawi,PH,7.9986,124.2928,69.21,92,100,3.02,overcast clouds
87,Ust-Tsilma,RU,65.441,52.1498,61.27,96,91,3.87,overcast clouds
88,Esmeraldas,BR,-19.7625,-44.3139,81.46,32,0,2.91,clear sky
89,Hilo,US,19.7297,-155.09,87.28,69,40,16.11,scattered clouds
90,Chuy,UY,-33.6971,-53.4616,48.58,85,5,6.64,clear sky
91,Mitu,CO,1.1983,-70.1733,78.91,92,99,1.77,overcast clouds
92,Kaitangata,NZ,-46.2817,169.8464,47.44,89,97,3.24,overcast clouds
93,Tessalit,ML,20.1986,1.0114,84.92,45,95,20.58,overcast clouds
94,Bredasdorp,ZA,-34.5322,20.0403,51.48,82,52,6.4,broken clouds
95,Sompeta,IN,18.9333,84.6,81.05,85,100,8.19,overcast clouds
96,Beloha,MG,-25.1667,45.05,66.74,74,56,3.83,broken clouds
